,category,rating,label,Review
1,Home_and_Kitchen_5,5,CG,did someon say `` orient '' it great product
2,Home_and_Kitchen_5,5,OR,my hot cocoa final perfect thi product fabul
3,Sports_and_Outdoors_5,5,CG,work good bought husband love he love way
4,Sports_and_Outdoors_5,5,OR,work describ did notic honeycomb 5x scope
5,Electronics_5,5,CG,thi second pair first one gift daughter second
6,Electronics_5,5,OR,protect ipod touch extrem well ca n't beat price highli recommend
7,Movies_and_TV_5,5,CG,wonder film seri great famili movi night.veri good movie.nic stori
8,Movies_and_TV_5,4,OR,good effect decent act i enjoy watch movi even though i young long way
9,Tools_and_Home_Improvement_5,4,CG,never use plea qualiti i keep shop use paint
10,Tools_and_Home_Improvement_5,5,OR,thi product is simpli amaz and so help i alway screw tip screw woodwork love
11,Pet_Supplies_5,3,CG,could get greek cocker spaniel stop bark i pull leash.i bought har dog the dog bit strong choke hazard
12,Pet_Supplies_5,3,OR,... look other dish first see guy got lol whi red dye 9live and i n't use open open long time i buy
13,Kindle_Store_5,5,CG,i captiv book the charact well develop kept interest i recommend book
14,Kindle_Store_5,4,OR,consid find love n't look thi would definit describ chase rowan read find coupl 's journey go
15,Books_5,5,CG,i love write prompt charact i love plot charact i love write i love stori
16,Books_5,1,OR,let oberon talk kill granuail one see pc stupid come long way she becom worthless charact
17,Toys_and_Games_5,3,CG,it 's pretti ure materi good my son love
18,Toys_and_Games_5,5,OR,look exactli like pictur my granddaught go love hair thi first princess doll
19,Clothing_Shoes_and_Jewelry_5,3,CG,wallet usual flatten toe comfort the size accur
20,Clothing_Shoes_and_Jewelry_5,3,OR,it nice warm comfort my issu i keep pull crotch area it slink
